9,9,9,9,9,9,9,9,2,1,0,0,0,0,0,1,3,9,9,9,3,1,1,1,0
9,9,9,9,9,9,9,9,9,2,1,0,0,1,1,3,9,9,9,9,9,3,1,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,10,9,2,1,9,9,10,10,10,10,10,10,10,10,2,9,9,10,10,1
10,10,10,10,10,9,2,1,1,9,9,10,10,10,10,10,10,1,2,9,9,9,10,10,0
10,9,4,9,2,1,0,1,9,9,9,9,10,10,10,10,9,9,3,2,2,9,9,9,0
1,1,1,0,0,1,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,1
10,10,1,1,0,1,1,1,9,9,9,10,10,10,10,10,10,1,1,9,9,9,10,10,1
10,1,1,1,0,1,9,9,9,9,9,9,10,10,10,10,2,9,1,1,9,9,9,9,1
1,1,0,0,2,2,9,9,9,9,9,9,9,9,2,9,1,1,1,9,9,9,9,1,1
1,3,9,9,9,9,9,9,9,9,0,9,9,9,1,0,2,9,9,9,9,0,9,2,1
0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,1
0,0,2,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,1,1,9,9,9,9,1
1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,0
1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,9,9,9,9,9,1
9,1,1,1,2,2,3,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,0
1,1,1,2,1,1,9,9,9,9,9,9,9,9,9,1,2,9,2,3,9,9,9,9,1
9,9,9,1,0,0,0,0,0,0,0,0,0,0,1,9,9,9,2,1,1,1,1,1,0
9,9,9,1,1,0,0,0,0,1,1,1,0,1,9,9,9,9,1,2,1,9,1,9,0
9,9,9,9,9,9,9,0,0,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,0
9,9,9,9,9,9,9,1,1,0,0,0,1,1,9,9,9,9,9,9,1,1,1,0,0
9,9,9,9,9,9,9,1,0,0,1,9,9,9,9,9,9,9,9,9,1,1,9,9,1
9,9,9,9,9,9,9,1,0,0,0,1,9,9,9,9,9,9,9,9,1,1,1,1,1
10,10,0,0,1,2,9,10,10,10,10,10,10,10,10,10,10,1,1,9,10,10,10,10,1
10,0,0,1,1,9,9,10,10,10,10,10,10,10,10,10,1,1,2,9,10,10,10,1,0
0,0,1,1,3,9,9,10,10,10,10,10,10,10,1,1,1,2,9,9,10,10,10,9,1
0,1,1,3,9,9,9,10,10,10,10,10,10,10,9,1,2,9,9,9,10,10,10,2,1
0,0,0,0,0,1,3,9,9,9,9,9,9,1,0,0,1,2,2,9,9,9,3,2,0
10,9,0,0,1,0,0,0,0,0,9,9,10,10,10,10,1,1,1,1,1,1,9,1,0
0,0,0,0,0,0,1,9,9,9,9,9,9,3,2,1,2,2,1,3,9,9,9,9,0
0,0,2,9,9,9,9,9,10,10,10,10,10,2,2,1,1,3,9,9,9,9,1,9,1
0,2,9,9,3,9,9,9,10,10,10,10,10,1,9,1,3,9,9,9,9,9,9,2,1
0,0,0,0,3,2,9,9,9,9,9,1,0,0,0,0,1,1,1,9,9,9,2,2,0
9,9,9,1,1,1,0,0,0,1,9,1,1,9,9,9,9,9,1,1,2,9,9,9,0
